Player,Team,Position,Rk,Status,Trade,Opponent,FPts,FP/G,% Owned,+/-,GP,FGM,FGA,3PTM,FTM,FTA,PTS,OREB,DREB,AST,ST,BLK,TO
Robert Carter Jr.,(N/A),"PF,Flx",612,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
KT Harrell,(N/A),"SG,Flx",613,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Michalis Kamperidis,(N/A),"SF,Flx",614,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Bobby Ray Parks Jr.,(N/A),"SG,Flx",615,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Malik Pope,(N/A),"SF,Flx",616,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Nik Slavica,(N/A),"SF,Flx",617,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jarvis Threatt,(N/A),"PG,Flx",618,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Byron Wesley,(N/A),"SG,Flx",619,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Adams,(N/A),"SG,Flx",620,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Maurice Ager,(N/A),"SG,SF,Flx",621,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexis Ajinca,(N/A),"PF,C,Flx",622,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Deji Akindele,(N/A),"C,Flx",623,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliff Alexander,(N/A),"PF,Flx",624,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Tony Allen,(N/A),"SG,SF,Flx",625,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Louis Amundson,(N/A),"PF,Flx",626,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Gilbert Arenas,(N/A),"PG,Flx",627,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Hilton Armstrong,(N/A),"PF,C,Flx",628,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyril Awere,(N/A),"C,Flx",629,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrea Bargnani,(N/A),"PF,C,Flx",630,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Esteban Batista,(N/A),"C,Flx",631,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Javon Bess,(N/A),"SG,Flx",632,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Bibby,(N/A),"PG,Flx",633,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Andris Biedrins,(N/A),"C,Flx",634,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyrell Biggs,(N/A),"SF,PF,Flx",635,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jabari Bird,(N/A),"SG,Flx",636,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
